Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	1.2750647068023682	18.500225	16.669497	111.7164	6.185877	21.911112	18.614885	0.0	18.614885	18.614885	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.383548	7.6243505	45.719738	-2.8630075	10.102148	9.731991	55.059658	-3.5936317	-0.17117298	0.15871379	0.35890806	-0.78302085	-10.273321	9.701851	3.5996046	-55.141697	10.351444	9.618454	55.141697	0.0022650766	-0.6477144	0.386997	0.35996047	-1.0439003	199.66704	370.7242	3040.6067	5.130572e-06	9.509922	10.250607	55.223858	5.1305716e-07
1	1999	2.527803897857666	17.70907	14.165849	67.205025	3.9594252	21.891304	18.614885	0.0	18.614885	18.614885	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.926516	11.624167	55.5336	-1.2636311	12.94633	14.410363	70.94549	-1.6335709	-0.17513645	0.161145	0.30022225	-1.048798	-13.121466	14.390464	1.5152931	-71.046875	13.144927	14.369037	71.046875	0.0004724876	-0.6757457	0.37089202	0.15152931	-1.0509967	379.25833	831.4925	5047.6587	2.2324453e-07	12.337117	14.970343	71.14841	2.2324453e-08
2	2999	3.7672908306121826	17.825142	22.95943	140.58832	5.134584	20.375	18.496222	0.0	18.496222	18.496222	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.418002	15.840433	83.16948	-1.8408031	12.323285	18.26115	97.51582	-3.1673777	-0.17438914	0.15354858	0.2770531	-0.7811843	-12.497675	18.252895	3.1295938	-97.50578	12.573199	18.200954	97.50578	0.003669462	-0.6303676	0.39061865	0.31295937	-1.0657563	489.36014	1569.6812	9507.378	1.3464951e-05	11.717915	18.678982	97.97168	1.3464951e-06
3	3999	5.005675792694092	15.418226	9.422609	55.177822	5.3764033	20.67347	18.67411	0.0	18.67411	18.67411	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.560391	5.1475153	25.984592	-3.431429	7.7938113	6.90235	34.999825	-3.0188594	-0.18422659	0.158672	0.22201562	-0.9466177	-7.978038	6.861481	2.9583778	-34.958527	8.078981	6.7423334	34.958527	0.011574248	-0.60084766	0.38698098	0.2958378	-1.0490763	110.729004	165.3907	1222.0986	0.0001339632	7.091386	7.395821	34.91728	1.339632e-05
4	4999	6.260476112365723	19.112518	15.365239	93.06457	6.7504177	22.533333	18.299694	0.0	18.299694	18.299694	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.8295302	6.788726	34.344048	-1.1932677	9.309849	9.210797	48.437393	-2.8734748	-0.17027193	0.1575842	0.3622594	-0.77662945	-9.480121	9.180789	2.6785421	-48.557373	9.538751	9.119858	48.557373	0.004873109	-0.623276	0.3804371	0.2678542	-1.0491788	174.15956	325.39584	2357.8184	2.374719e-05	8.598406	9.757684	48.67765	2.374719e-06
5	5999	13.808571338653564	27.828554	32.9064	174.34862	4.252418	28.529411	118.396805	0.0	118.396805	118.396805	90.0	5.874303	2.8661358	20.71314	-0.80595756	1.5667188	-1.9605235	0.5002794	14.221228	-5.470336	-7.6683407	0.86204416	0.07478202	0.99970007	0.7409343	-0.44633302	0.7423748	0.5675292	11.540987	1.0728836e-06	30.24556	20.580585	79.988144	-5.2250695	38.39394	24.237745	96.983246	-3.0996425	12.750276	3.2297778	21.822138	4.7442255	-25.643661	24.323347	19.309687	-85.80208	28.557943	20.82466	85.80208	0.0030778837	-0.37593594	0.6085691	1.9309688	-0.91311914	1249.2227	1434.1927	7361.9966	9.473368e-06	21.962816	18.023916	75.90998	5.97945e-07
6	6999	21.320389986038208	68.598175	18.020088	116.86308	45.862392	44.772728	45.52527	0.0	45.52527	45.52527	27.0	14.126669	4.967471	33.52518	-4.2698164	3.7304628	-1.4122922	1.13798	3.8907633	-7.8401647	-15.936426	0.64980125	0.049365927	0.7407286	0.5696875	-1.0321583	0.8168995	0.59516525	4.345624	5.364418e-07	35.61833	18.68562	89.85577	1.9250354	41.671017	22.279716	107.60814	1.9250354	26.382383	3.3297508	35.243576	18.689215	-15.288635	24.440895	32.500523	-86.59741	23.64236	16.496622	86.59741	0.0027390586	0.016784472	0.91810983	3.2500525	-0.80698276	831.0998	1136.7258	7499.1113	7.5024423e-06	18.444092	18.160769	105.6284	2.6637701e-07
7	7999	28.8626127243042	101.61145	51.733513	202.81628	45.769993	53.68421	183.77145	0.0	183.77145	183.77145	94.0	22.707647	7.2448835	49.166122	-6.6702576	8.5859995	-0.79477316	1.5298471	6.154642	-9.52116	-24.705984	0.50647587	0.034334056	0.56954676	0.45083624	-1.2123189	0.89809114	0.6255677	4.6697087	5.248934e-06	75.624725	33.185577	122.99205	2.3975897	84.86081	37.547077	138.5137	2.3975897	32.282852	5.169871	45.536324	20.34414	-52.577957	34.357887	28.821196	-107.04713	55.07286	30.19745	107.04713	0.13117127	-0.43274167	0.5769212	2.8821197	-0.7770445	3944.9058	3213.8784	11459.088	0.017205901	37.74955	22.83358	83.10948	0.0005103014
8	8999	36.35392642021179	180.86359	16.074244	193.51794	131.93925	90.545456	188.86032	0.0	188.86032	188.86032	97.0	30.781612	8.687302	59.447742	-7.642473	13.483639	-0.13530457	1.8008902	8.336547	-8.949634	-33.06464	0.40912196	0.02255448	0.45074013	0.3725089	-1.0071228	0.98905146	0.65645444	5.090764	2.026558e-06	76.12512	32.546894	118.32314	2.3001661	82.41564	35.03353	129.19759	2.3001661	38.26707	7.3803916	56.32804	24.125854	-44.148567	29.474472	29.471521	-89.092186	47.590687	23.515257	89.092186	0.1667381	-0.33743393	0.6374044	2.9471521	-0.69354165	2817.8406	2091.7	7937.418	0.027801594	29.629313	16.147673	86.857056	0.00090119784
9	9999	43.8580858707428	188.84488	5.147026	196.21353	180.42366	96.7	183.2153	0.0	183.2153	183.2153	94.0	38.24303	9.916818	66.17336	-10.157681	17.220358	0.35055146	2.002464	9.057722	-10.60915	-40.722694	0.3444066	0.015462235	0.3724565	0.320402	-0.6872134	1.0597916	0.6848001	4.585923	3.5762787e-06	74.6036	32.341743	116.70452	2.374262	79.60904	33.888542	123.91308	2.374262	43.96518	9.907653	66.7021	27.986729	-35.643867	25.805346	28.750616	-73.659386	39.73456	18.909405	73.659386	0.08448315	-0.24364248	0.6572629	2.8750615	-0.60150987	1936.4009	1368.6675	5425.705	0.0071374015	22.274233	13.092617	82.65979	0.00020465706
